"","N_EDIFICIOS_CLASSICOS","N_EDIFICIOS_CLASS_CONST_1_OU_2_ALOJ","N_EDIFICIOS_CLASS_CONST_3_OU_MAIS_ALOJAMENTOS","N_EDIFICIOS_EXCLUSIV_RESID","N_EDIFICIOS_1_OU_2_PISOS","N_EDIFICIOS_3_OU_MAIS_PISOS","N_EDIFICIOS_CONSTR_ANTES_1945","N_EDIFICIOS_CONSTR_1946_1980","N_EDIFICIOS_CONSTR_1981_2000","N_EDIFICIOS_CONSTR_2001_2010","N_EDIFICIOS_CONSTR_2011_2021","N_EDIFICIOS_COM_NECESSIDADES_REPARACAO","N_ALOJAMENTOS_TOTAL","N_ALOJAMENTOS_FAMILIARES","N_ALOJAMENTOS_FAM_CLASS_RHABITUAL","N_ALOJAMENTOS_FAM_CLASS_VAGOS_OU_RESID_SECUNDARIA","N_RHABITUAL_ACESSIVEL_CADEIRAS_RODAS","N_RHABITUAL_COM_ESTACIONAMENTO","N_RHABITUAL_PROP_OCUP","N_RHABITUAL_ARRENDADOS","N_AGREGADOS_DOMESTICOS_PRIVADOS","N_ADP_1_OU_2_PESSOAS","N_ADP_3_OU_MAIS_PESSOAS","N_NUCLEOS_FAMILIARES","N_NUCLEOS_FAMILIARES_COM_FILHOS_TENDO_O_MAIS_NOVO_MENOS_DE_25","N_INDIVIDUOS","N_INDIVIDUOS_H","N_INDIVIDUOS_M","N_INDIVIDUOS_0_14","N_INDIVIDUOS_15_24","N_INDIVIDUOS_25_64","N_INDIVIDUOS_65_OU_MAIS","postal_code"
"755",13,3,10,13,2,11,3,6,3,0,1,1,88,88,75,13,20,3,18,53,75,60,15,42,15,145,56,89,12,11,83,39,"1300-245"
"756",21,6,15,20,8,13,13,4,1,3,0,14,116,116,72,44,6,5,14,56,72,64,8,32,9,120,46,74,4,9,63,44,"1300-481"
"757",18,4,14,18,3,15,16,2,0,0,0,2,153,153,110,43,13,1,21,81,110,86,24,48,25,202,87,115,25,23,106,48,"1300-245"
"758",1,0,1,1,0,1,1,0,0,0,0,1,5,5,3,2,0,0,0,3,3,3,0,1,0,4,1,3,0,0,3,1,"1300-481"
"759",13,6,7,12,2,11,1,5,1,0,6,3,37,37,29,8,0,2,15,13,29,23,6,16,5,58,27,31,3,6,33,16,"1300-011"
"760",26,26,0,26,11,15,0,14,11,0,1,0,27,27,21,6,9,20,19,1,21,9,12,24,12,75,31,44,10,12,35,18,"1400-184"
"761",16,14,2,16,7,9,0,12,3,0,1,2,21,21,19,2,9,19,13,5,19,8,11,16,11,64,31,33,14,10,25,15,"1400-004"
"762",11,10,1,11,4,7,0,5,6,0,0,3,14,14,8,6,3,8,7,0,8,4,4,8,2,23,10,13,0,3,9,11,"1400-128"
"763",19,12,7,18,13,6,0,18,0,0,1,11,37,37,25,12,3,0,13,9,25,17,8,12,6,49,19,30,4,5,28,12,"1300-996"
"764",40,19,21,37,18,22,21,16,1,1,1,13,196,196,149,47,7,7,43,95,149,123,26,79,30,276,123,153,26,18,150,82,"1400-077"
"765",17,0,17,16,0,17,10,4,0,3,0,6,151,151,110,41,26,26,39,67,110,81,29,56,27,220,97,123,32,22,113,53,"1300-360"
"766",17,13,4,17,15,2,13,2,1,1,0,10,32,32,25,7,4,2,5,17,25,21,4,12,4,42,25,17,5,1,23,13,NA
"767",4,3,1,4,3,1,4,0,0,0,0,4,9,9,4,5,2,0,0,3,4,3,1,3,1,10,6,4,0,1,6,3,"1250-041"
"768",24,13,11,19,14,10,22,0,0,1,1,0,57,57,34,23,2,0,12,19,34,25,9,14,5,67,32,35,5,8,37,17,"1170-014"
"769",58,17,41,50,15,43,27,24,0,6,1,34,418,418,333,85,55,42,122,198,333,253,80,169,69,650,319,331,60,61,353,176,"1170-041"
"770",21,1,20,19,1,20,6,6,8,1,0,4,197,197,157,40,92,91,87,61,157,103,54,96,49,356,159,197,54,31,197,74,"1250-212"
"771",7,1,6,6,2,5,1,4,1,0,1,5,43,43,30,13,1,0,10,18,30,24,6,13,5,59,33,26,9,4,32,14,"1350-102"
"772",17,2,15,16,1,16,10,7,0,0,0,12,102,102,75,27,5,27,26,38,75,57,18,41,14,146,67,79,15,9,82,40,"1257-047"
"773",3,0,3,3,0,3,3,0,0,0,0,0,22,22,13,9,0,0,1,12,13,11,2,6,1,25,10,15,2,1,18,4,"1169-107"
"774",6,0,6,5,0,6,2,0,0,2,2,1,83,83,37,46,11,7,22,14,37,26,11,25,12,99,55,44,9,18,59,13,"1250-195"
"775",16,10,6,15,8,8,14,0,1,0,1,13,51,51,27,24,4,2,7,19,27,20,7,16,6,55,28,27,6,4,26,19,"1350-273"
"776",27,2,25,21,0,27,18,1,3,4,1,4,136,136,102,34,21,40,57,37,102,65,37,64,32,231,108,123,26,28,132,45,"1169-043"
"777",14,11,2,14,13,1,13,0,0,0,1,13,38,37,22,15,9,10,8,13,22,14,8,13,7,70,28,42,10,3,29,28,"1900-046"
"778",13,4,9,11,4,9,8,3,1,0,1,7,53,53,40,13,5,6,17,20,40,31,9,18,10,74,37,37,10,5,38,21,"1250-131"
"779",13,0,13,8,0,13,8,3,2,0,0,11,102,102,82,20,2,24,51,27,82,65,17,37,14,156,76,80,7,11,96,42,"1170-220"
"780",10,0,10,9,0,10,0,0,10,0,0,1,141,141,131,10,68,5,24,105,131,76,55,100,53,342,164,178,56,46,154,86,"1600-647"
"781",6,0,6,4,0,6,0,6,0,0,0,6,118,118,100,18,2,5,72,18,100,80,20,58,22,191,80,111,15,14,108,54,"1800-178"
"782",24,24,0,24,16,8,0,10,12,2,0,3,25,25,22,3,6,19,17,2,22,14,8,16,5,50,23,27,5,4,27,14,"1800-192"
"783",11,0,11,11,0,11,0,4,3,2,2,4,135,135,113,22,58,89,71,34,113,73,40,71,40,256,115,141,47,29,117,63,"1400-081"
"784",13,4,9,11,2,11,11,2,0,0,0,5,43,43,21,22,0,0,2,18,21,18,3,10,4,39,20,19,4,3,23,9,"1200-145"
"785",3,0,3,2,0,3,3,0,0,0,0,2,9,9,4,5,0,0,0,4,4,4,0,0,0,5,4,1,0,0,5,0,"1100-042"
"786",7,1,6,5,1,6,7,0,0,0,0,3,29,29,18,11,0,1,6,12,18,14,4,10,3,42,23,19,1,3,27,11,"1200-047"
"787",7,7,0,7,7,0,0,4,0,1,2,0,7,7,6,1,1,2,5,1,6,2,4,6,4,21,10,11,6,3,10,2,"1349-016"
"788",19,5,14,11,2,17,19,0,0,0,0,10,53,53,31,22,0,0,5,20,31,28,3,10,3,48,21,27,3,3,24,18,"1100-015"
"789",15,0,15,13,0,15,0,15,0,0,0,0,203,203,143,60,9,1,95,40,143,101,42,90,36,306,141,165,26,41,146,93,"1500-530"
"790",30,1,29,25,1,29,0,29,1,0,0,11,349,349,275,74,24,45,138,110,275,201,74,147,60,562,260,302,47,53,293,169,"1700-046"
"791",5,0,5,5,0,5,0,0,5,0,0,0,125,125,97,28,92,56,74,13,97,69,28,62,28,210,96,114,19,26,104,61,"1600-477"
"792",30,0,30,26,0,30,2,28,0,0,0,15,263,263,226,37,4,13,105,106,226,165,61,116,57,471,205,266,66,46,240,119,"1700-331"
"793",16,16,0,16,16,0,0,16,0,0,0,1,16,16,14,2,5,11,12,1,14,9,5,10,4,34,18,16,4,3,17,10,"1800-999"
"794",10,10,0,10,10,0,0,10,0,0,0,0,10,10,8,2,4,7,8,0,8,2,6,9,4,30,14,16,5,4,12,9,"1800-079"
"795",21,1,20,18,1,20,0,21,0,0,0,0,246,246,193,53,30,30,98,65,193,138,55,111,52,396,169,227,48,39,198,111,"1700-079"
"796",4,0,4,4,0,4,0,4,0,0,0,1,40,40,37,3,2,0,26,10,37,23,14,24,9,83,34,49,6,9,39,29,"1950-037"
"797",1,0,1,1,0,1,1,0,0,0,0,1,8,8,1,7,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,"1250-066"
"798",3,0,3,2,0,3,0,0,0,0,3,0,43,43,7,36,4,7,1,6,7,5,2,3,2,15,11,4,4,0,9,2,"1250-042"
"799",59,8,50,49,10,49,51,6,2,0,0,24,316,315,217,98,9,4,74,134,218,153,65,114,53,492,275,217,63,38,288,103,"1150-000"
"800",5,0,5,3,0,5,3,2,0,0,0,1,26,26,10,16,2,2,4,5,10,8,2,3,1,18,5,13,0,3,9,6,"1250-147"
"801",8,1,6,7,1,7,1,6,0,1,0,0,55,55,34,21,2,0,17,11,34,22,12,17,6,84,50,34,5,6,50,23,"1169-199"
